mechanism_id,mechanism_name,line_type,vendor_or_material,item_or_part,sku_or_process,machine,qty,unit_price,ext_price,hours,verified,url,order_by
under_bumper_intake,Under-bumper intake,MATERIAL_STOCK,raw stock allowance,,,,1,75.00,75.00,,estimate,,2026-12-19
passive_latch_climber,Passive latch / hook climber (no dedicated actuator),COTS,UNVERIFIED,Spring-loaded latch hardware / gas spring,-,,2,40.00,80.00,,UNVERIFIED,-,2026-12-26
passive_latch_climber,Passive latch / hook climber (no dedicated actuator),COTS,The Thrifty Bot,Constant Force Spring Kit,-,,1,49.99,49.99,,yes,https://www.thethriftybot.com/products/constant-force-spring-kit,2026-12-26
passive_latch_climber,Passive latch / hook climber (no dedicated actuator),COTS,UNVERIFIED,1/4 in aluminum plate stock for hooks,-,,1,55.00,55.00,,UNVERIFIED,-,2026-12-26
passive_latch_climber,Passive latch / hook climber (no dedicated actuator),FABRICATED,1/4 in 6061 plate,Passive hooks,profile + deburr,bandsaw_drillpress,2,,,5.0,n/a,,2026-12-26
passive_latch_climber,Passive latch / hook climber (no dedicated actuator),FABRICATED,1/8 in 6061 sheet,Latch pivot + spring mount,cut + drill,bandsaw_drillpress,2,,,4.0,n/a,,2026-12-26
passive_latch_climber,Passive latch / hook climber (no dedicated actuator),FABRICATED,2x1 6061 tube,Frame reinforcement,cut + drill,bandsaw_drillpress,2,,,3.0,n/a,,2026-12-26
passive_latch_climber,Passive latch / hook climber (no dedicated actuator),MATERIAL_STOCK,raw stock allowance,,,,1,60.00,60.00,,estimate,,2026-12-26

TOTAL,,,,,,,,,4385.99,91.0,,,
