rule_id	min_stmt_sim	mean_stmt_sim	firstlast_body_sim	2016->2017	2017->2018	2018->2019	2019->2020	2020->2021	headline
R79	0.124	0.398	0.384	0.124	0.256	0.256	0.354	1.000	Throughout an event, compressed air on the ROBOT must be provided by its one onboard compressor only
R66	0.124	0.304	0.859	0.128	0.158	0.130	0.124	0.980	The Driver Station software, roboRIO, Power Distribution Panel, Pneumatics Control Modules, Voltage Regulator Modules, R
R93	0.125	0.354	0.142	0.247	0.270	0.265	0.125	0.864	OPERATOR CONSOLES shall not be made using hazardous materials, be unsafe, cause an unsafe condition, or interfere with o
G9	0.128	0.313	0.160	0.128	0.137	0.195	0.174	0.930	No full court shots
G14	0.128	0.369	0.344	0.165	0.128	0.139	0.411	1.000	During the ENDGAME, don’t touch ROBOTS in their RENDEZVOUS POINT
R55	0.130	0.332	0.280	0.133	0.130	0.170	0.228	1.000	All non-SIGNAL LEVEL wiring with a constant polarity (i
R18	0.135	0.375	0.199	0.180	0.154	0.405	0.135	1.000	Except as allowed per G16, BUMPERS must be located entirely within the BUMPER ZONE, which is the volume contained betwee
R59	0.136	0.368	0.231	0.153	0.259	0.136	0.293	1.000	The roboRIO Ethernet PORT must be connected to the Wireless Bridge PORT labeled “18-24 vPOE,” closest to the power conne
R58	0.137	0.383	0.316	0.309	0.171	0.137	0.301	1.000	One (1) OpenMesh Wireless Bridge (P/N: OM5P-AN or OM5P-AC), that has been configured with the appropriate encryption key
R3	0.141	0.661	0.405	0.505	0.687	0.141	0.974	1.000	A ROBOT’S STARTING CONFIGURATION may not have a FRAME PERIMETER greater than 120
G21	0.141	0.422	0.353	0.141	0.370	0.436	0.183	0.979	There’s a 5-count on pins
R71	0.142	0.375	0.848	0.142	0.162	0.245	0.325	1.000	Each PCM must be controlled with signal inputs sourced from the roboRIO and passed via a CAN-bus connection from the rob
R19	0.143	0.339	0.056	0.212	0.143	0.166	0.173	1.000	BUMPERS must not be articulated (relative to the FRAME PERIMETER)
R67	0.144	0.405	1.000	0.421	0.308	0.153	0.144	1.000	Neither 12VDC power nor relay module or motor controller outputs shall be directly connected to the roboRIO (with the ex
R46	0.144	0.334	0.314	0.182	0.175	0.168	0.144	1.000	The roboRIO power input must be connected to the dedicated supply terminals on the PDP shown in Figure 9-11
R84	0.145	0.389	0.118	0.350	0.215	0.237	0.145	1.000	The relief valve must be attached directly to the compressor or attached by legal hard fittings (e
R13	0.148	0.377	0.039	0.974	0.183	0.148	0.367	0.213	This rule has been removed for the 2021 season
R47	0.148	0.382	0.188	0.148	0.168	0.318	0.335	0.939	The Wireless Bridge (Radio) power must be supplied directly by the 12V 2A output of a CTR Electronics Voltage Regulator 
R82	0.152	0.348	0.267	0.152	0.164	0.254	0.170	1.000	Only the compressor, relief valve, pressure switch, pressure vent plug, pressure gauge, storage tanks, tubing, pressure 
R91	0.152	0.396	0.213	0.298	0.308	0.275	0.152	0.946	The OPERATOR CONSOLE must not A
R81	0.154	0.344	0.440	0.168	0.215	0.183	0.154	1.000	Working air pressure (air pressure used to actuate devices) on the ROBOT must be no greater than 60 psi (~413 kPa) and m
G5	0.158	0.381	0.333	0.268	0.158	0.221	0.258	1.000	During AUTO, let the ROBOT do its thing
R80	0.158	0.380	0.148	0.249	0.191	0.302	0.158	1.000	Stored air pressure on the ROBOT must be no greater than 120 psi (~827 kPa)
R75	0.159	0.368	0.358	0.159	0.236	0.246	0.254	0.944	All pneumatic items must be COTS pneumatic devices and either: A
R43	0.159	0.403	0.256	0.159	0.194	0.383	0.281	1.000	The 120A circuit breaker must be quickly and safely accessible from the exterior of the ROBOT
R56	0.160	0.350	0.125	0.190	0.160	0.239	0.160	1.000	CUSTOM CIRCUITS shall not directly alter the power pathways between the ROBOT battery, PDP, motor controllers, relays (p
R26	0.160	0.364	0.603	0.324	0.160	0.203	0.161	0.971	BUMPERS must be supported by the structure/frame of the ROBOT (see Figure 9-9)
R52	0.162	0.392	0.191	0.162	0.495	0.183	0.251	0.871	Each branch circuit must be protected by one and only one circuit breaker on the PDP per Table 9-3
R54	0.162	0.415	0.252	0.208	0.284	0.420	0.162	1.000	Branch circuits may include intermediate elements such as COTS connectors, splices, COTS flexible/rolling/sliding contac
G24	0.163	0.369	0.444	0.163	0.221	0.171	0.289	1.000	Stay out of other ROBOTS
G3	0.165	0.486	0.281	0.253	0.542	0.165	0.560	0.910	During AUTO, no defense
R10	0.167	0.547	0.161	0.830	0.167	0.379	0.358	1.000	Lubricants may be used only to reduce friction within the ROBOT
R40	0.170	0.386	0.136	0.202	0.312	0.170	0.245	1.000	The one (1) ROBOT battery, a single pair of Anderson Power Products (or APP) 2-pole SB type connectors, the one (1) main
G20	0.170	0.399	0.355	0.247	0.170	0.241	0.339	1.000	Keep your BUMPERS together
R85	0.174	0.391	0.284	0.212	0.350	0.242	0.174	0.976	The pressure switch requirements are: A
R4	0.180	0.593	0.237	0.181	0.180	0.747	0.967	0.889	ROBOTS may not extend more than 12 in
G13	0.180	0.462	0.231	0.180	0.293	0.343	0.494	1.000	Don’t climb on each other unless at the RENDEZVOUS POINT
G2	0.180	0.600	0.145	0.180	0.879	0.292	0.651	1.000	Teams may not enable their ROBOTS on the FIELD
G17	0.182	0.406	0.464	0.294	0.240	0.317	0.182	1.000	Tall ROBOTS not allowed
G11	0.182	0.376	0.185	0.190	0.182	0.233	0.323	0.951	Give opponents some space
R74	0.184	0.406	0.937	0.184	0.259	0.341	0.244	1.000	To satisfy multiple constraints associated with safety, consistency, Inspection, and constructive innovation, no pneumat
R83	0.185	0.387	0.284	0.301	0.241	0.185	0.210	1.000	Pressure gauges must be placed in easily visible locations upstream and downstream of the regulator to display the store
R27	0.190	0.465	0.119	0.780	0.338	0.190	0.214	0.805	The only motors and actuators permitted on 2021 ROBOTS include the following (in any quantity): Table 9-1 Motor allowanc
R39	0.190	0.381	0.254	0.272	0.223	0.190	0.255	0.965	Non-electrical sources of energy used by the ROBOT, (i
R44	0.195	0.392	0.130	0.244	0.195	0.241	0.281	1.000	The PDP, associated wiring, and all circuit breakers must be visible for Inspection
G4	0.199	0.380	0.233	0.235	0.207	0.257	0.199	1.000	During AUTO, behind the lines
R25	0.203	0.517	0.332	1.000	0.203	0.256	0.216	0.913	Corner joints between BUMPERS must be filled with pool noodle material
R78	0.209	0.482	0.864	0.209	0.474	0.519	0.229	0.976	If pneumatic COMPONENTS are used, the following items are required as part of the pneumatic circuit and must be used in 
R63	0.209	0.418	0.853	0.297	0.307	0.209	0.275	1.000	No form of wireless communication shall be used to communicate to, from, or within the ROBOT, except those required per 
R50	0.212	0.437	0.245	0.281	0.212	0.408	0.282	1.000	The only circuit breakers permitted for use in the PDP are: A
R70	0.217	0.437	0.818	0.217	0.328	0.333	0.307	1.000	Each CAN motor controller must be controlled with signal inputs sourced from the roboRIO and passed via either a PWM (wi
G23	0.222	0.396	0.098	0.271	0.222	0.245	0.240	1.000	Don’t tear others down to lift yourself up
R17	0.223	0.423	0.134	0.317	0.301	0.295	0.223	0.979	ROBOTS are required to use BUMPERS to protect all outside corners of the FRAME PERIMETER
R41	0.224	0.504	0.330	0.224	0.419	0.592	0.286	1.000	All circuits, with the exceptions of those listed in R46 and R48, must connect to, and have power sourced solely by, a s
R1	0.225	0.721	0.176	0.225	0.983	0.442	0.992	0.961	The ROBOT (excluding BUMPERS) must have a FRAME PERIMETER, contained within the
R88	0.233	0.521	0.310	0.317	0.233	0.738	0.319	0.997	The Driver Station software provided by National Instruments (install instructions found here) is the only application p
G1	0.239	0.679	0.278	0.239	0.824	0.615	0.793	0.927	Know your ROBOT setup
R5	0.241	0.678	0.854	0.283	0.241	0.963	0.904	1.000	The ROBOT weight must not exceed 125 lbs
R64	0.247	0.442	1.000	0.354	0.296	0.247	0.315	1.000	The Wireless Bridge must be mounted on the ROBOT such that the diagnostic lights are visible to ARENA personnel
R42	0.251	0.417	0.142	0.251	0.255	0.312	0.341	0.925	All wiring and electrical devices, including all Control System COMPONENTS, shall be electrically isolated from the ROBO
G7	0.253	0.493	0.120	0.253	0.278	0.296	0.724	0.914	Keep POWER CELLS in bounds
R87	0.255	0.596	0.224	0.255	0.461	1.000	0.261	1.000	The outputs from multiple solenoid valves must not be plumbed together
R2	0.328	0.785	0.296	0.328	0.992	0.604	1.000	1.000	In the STARTING CONFIGURATION (the physical configuration in which a ROBOT starts a MATCH),
