year_a,year_b,id_a,id_b,sim,kind,headline_b
2015,2016,R59,R70,0.963,MINOR+RENUMBERED,Each Jaguar or Talon SRX must be controlled with signal inputs sourced from the roboRIO and
2015,2016,R10,R11,0.9623,MINOR+RENUMBERED,"No individual, non-KOP item shall have a value that exceeds $400 USD. The total cost of"
2015,2016,R71,R82,0.962,MINOR+RENUMBERED,“Working” air pressure on the ROBOT must be no greater than 60 psi and must be provided
2015,2016,R20,R31,0.9606,MINOR+RENUMBERED,"The only legal source of electrical energy for the ROBOT during the competition, the ROBOT"
2015,2016,R36,R47,0.96,MINOR+RENUMBERED,The fuses in the PDP shall only be replaced with functionally identical fuses (mini automotive blade
2015,2016,T19,T24,0.9561,MINOR+RENUMBERED,If during a TIMEOUT an ALLIANCE CAPTAIN determines that they need to call up a BACKUP
2015,2016,R11,R12,0.9549,MINOR+RENUMBERED,The CAW cost of each non-KOP item must be calculated based on the unit fair market value for the
2015,2016,R13,R14,0.9544,MINOR+RENUMBERED,Software and mechanical/electrical designs created before Kickoff are only permitted if the source
2015,2016,R55,R66,0.9543,MINOR+RENUMBERED,"The Driver Station software, roboRIO, Power Distribution Panel, Pneumatics Control Modules,"
2015,2016,R25,R36,0.9534,MINOR+RENUMBERED,"The one (1) ROBOT battery, a single pair of Anderson Power Products (or APP) 2-pole SB type"
2015,2016,R16,R17,0.95,MINOR+RENUMBERED,Lubricants may be used only to reduce friction within the ROBOT. Lubricants must not contaminate
2015,2016,R47,R58,0.95,MINOR+RENUMBERED,The Wireless Bridge must be connected to the roboRIO Ethernet port (either directly or via a CAT5
2015,2016,R54,R65,0.9495,MINOR+RENUMBERED,"ROBOTS must use at least one (1), but no more than two (2) diagnostic ROBOT Signal Lights (RSL)"
2015,2016,T18,T23,0.9487,MINOR+RENUMBERED,TIMEOUTS are not transferrable between ALLIANCES.
2015,2016,R67,R78,0.9462,MINOR+RENUMBERED,"If pneumatic COMPONENTS are used, the following items are required as part of the pneumatic"
2015,2016,G1,G1,0.9419,MINOR,ROBOTS whose operation or design is dangerous or unsafe are not permitted.
2015,2016,R63,R74,0.9375,MINOR+RENUMBERED,"To satisfy multiple constraints associated with safety, consistency, Inspection, and constructive"
2015,2016,R5,R6,0.9278,MINOR+RENUMBERED,"Traction devices must not have surface features such as metal, sandpaper, hard plastic studs,"
2015,2016,R45,R56,0.9244,MINOR+RENUMBERED,ROBOTS must be controlled via one (1) programmable National Instruments roboRIO (P/N:
2015,2016,R15,R16,0.9213,MINOR+RENUMBERED,Teams must stay “hands-off” their bagged ROBOT elements during the following time periods:
2015,2016,R64,R75,0.92,MINOR+RENUMBERED,All pneumatic items must be COTS pneumatic devices rated by their manufacturers for working
2015,2016,R31,R42,0.9167,MINOR+RENUMBERED,The roboRIO power input must be connected to the dedicated supply terminals on the PDP shown
2015,2016,R75,R86,0.9167,MINOR+RENUMBERED,"If the stored pressure gauge is kept off-board the ROBOT with the compressor, then only low-"
2015,2016,T8,T12,0.9069,MINOR+RENUMBERED,A Team is only permitted to participate in a Qualification or Playoff MATCH and receive Ranking
2015,2016,R42,R53,0.9045,MINOR+RENUMBERED,"Each power regulating device may control electrical loads per Table 4-4 . Unless otherwise noted,"
2015,2016,R49,R60,0.9045,MINOR+RENUMBERED,Communication between the ROBOT and the OPERATOR CONSOLE is restricted as follows:
2015,2016,R7,R8,0.9006,MINOR+RENUMBERED,Protrusions from the ROBOT and exposed surfaces on the ROBOT shall not pose hazards to the
2015,2016,T17,T22,0.8976,MINOR+RENUMBERED,"There are no cascading TIMEOUTS. If an ALLIANCE calls a TIMEOUT during a FIELD TIMEOUT,"
2015,2016,R76,R87,0.897,MINOR+RENUMBERED,The relief valve must be attached directly to the compressor or attached by legal hard fittings (e.g.
2015,2016,R57,R68,0.8952,MINOR+RENUMBERED,"Every relay module, servo, and PWM motor controller shall be connected to a corresponding port"
2015,2016,R69,R80,0.8932,MINOR+RENUMBERED,"The compressor (permitted per R79 ) may be located off-board, however the compressor must still"
2015,2016,R83,R94,0.8902,MINOR+RENUMBERED,The OPERATOR CONSOLE must not exceed 60 in. long by 14 in. deep (excluding any items that
2015,2016,R33,R44,0.8866,MINOR+RENUMBERED,The VRM supplying power to the Wireless Bridge per R43 must be connected to the designated
2015,2016,R19,R30,0.8853,MINOR+RENUMBERED,"The integral mechanical and electrical system of any motor must not be modified. Motors, servos,"
2015,2016,R68,R79,0.8846,MINOR+RENUMBERED,Compressed air on the ROBOT must be provided by one and only one compressor. Compressor
2015,2016,R8,R9,0.8814,MINOR+RENUMBERED,"ROBOT parts shall not be made from hazardous materials, be unsafe, cause an unsafe condition,"
2015,2016,R4,R5,0.8791,MINOR+RENUMBERED,"The ROBOT weight must not exceed 120 lbs. When determining weight, the basic ROBOT"
2015,2016,G32,G35,0.8723,MINOR+RENUMBERED,"A ROBOT shall be operated solely by the DRIVERS and/or HUMAN PLAYERS of that Team, and/or"
2015,2016,R12,R13,0.8621,MINOR+RENUMBERED,Physical ROBOT elements created before Kickoff are not permitted. Exceptions are:
2015,2016,T11,T16,0.8592,MINOR+RENUMBERED,"The ROBOT Cost Accounting Worksheet (CAW), listing all items on the ROBOT except those"
2015,2016,R9,R10,0.8359,REWRITTEN+RENUMBERED,The total cost of all items on the ROBOT shall not exceed $4000 USD. All costs are to be
2015,2016,R17,R18,0.8289,REWRITTEN+RENUMBERED,"At an Event, Teams may have access to a WITHHOLDING ALLOWANCE of FABRICATED ITEMS,"
2015,2016,R27,R38,0.8211,REWRITTEN+RENUMBERED,"All wiring and electrical devices, including all Control System COMPONENTS, shall be electrically"
2015,2016,R26,R37,0.82,REWRITTEN+RENUMBERED,"All circuits, with the exceptions of those listed in R42 and R44 , must connect to, and have power"
2015,2016,R24,R35,0.8177,REWRITTEN+RENUMBERED,"Non-electrical sources of energy used by the ROBOT, (i.e., stored at the start of a MATCH), shall"
2015,2016,T10,T15,0.814,REWRITTEN+RENUMBERED,"If a ROBOT is modified after it has passed its most recent Inspection, other than modifications"
2015,2016,R66,R77,0.8065,REWRITTEN+RENUMBERED,The only pneumatic system items permitted on 2016 FIRST Robotics Competition ROBOTS include
2015,2016,T12,T17,0.8034,REWRITTEN+RENUMBERED,"During the event, from load-in on the first day to load-out on the final day, Teams may only"
2015,2016,R74,R85,0.803,REWRITTEN+RENUMBERED,If the compressor is not included on the ROBOT (under the provisions of R80 ) the ”Stored”
2015,2016,T3,T4,0.7928,REWRITTEN+RENUMBERED,Teams may not set up their own 802.11a/b/g/n/ac (2.4GHz or 5GHz) wireless communication (e.g.
2015,2016,T1,T1,0.7879,REWRITTEN,Safety is paramount at all times during the Tournament. Event staff have the final decision
2015,2016,G20,G16,0.7778,REWRITTEN+RENUMBERED,Any control devices worn or held by the DRIVERS and/or HUMAN PLAYERS during AUTO must be
2015,2016,T5,T5,0.7737,REWRITTEN,No Team or Team member shall interfere or attempt to interfere with any other Team’s or FIRST ’s
2015,2016,R81,R92,0.7708,REWRITTEN+RENUMBERED,"The OPERATOR CONSOLE, the set of COMPONENTS and MECHANISMS used by the DRIVERS"
2015,2016,R38,R49,0.758,REWRITTEN+RENUMBERED,All circuits shall be wired with appropriately sized insulated wire:
2015,2016,R41,R52,0.7575,REWRITTEN+RENUMBERED,"With the exception of servos, fans, or hard drive motors permitted in R29 , each actuator must be"
2015,2016,R18,R29,0.7553,REWRITTEN+RENUMBERED,The only motors and actuators permitted on 2016 FIRST Robotics Competition ROBOTS include
2015,2016,R34,R45,0.7484,REWRITTEN+RENUMBERED,Only one wire shall be connected to each WAGO connector on the PDP.
2015,2016,G2,G2,0.7451,REWRITTEN,"DRIVE TEAMS may only enter the FIELD if the TOWER LED strings are green, unless explicitly"
2015,2016,T14,T19,0.7413,REWRITTEN+RENUMBERED,"If a DRIVE TEAM needs clarification on a ruling or score, one (1) pre-college student from that"
2015,2016,R1,R1,0.7411,REWRITTEN,A Team must submit their ROBOT for Inspection. The ROBOT must be an electromechanical
2015,2016,T16,T21,0.7376,REWRITTEN+RENUMBERED,"If an ALLIANCE wishes to call a TIMEOUT, the ALLIANCE CAPTAIN must submit their TIMEOUT"
2015,2016,G29,G30,0.7342,REWRITTEN+RENUMBERED,Only DRIVE TEAMS for the current MATCH are allowed in their respective CASTLES.
2015,2016,G28,G31,0.7297,REWRITTEN+RENUMBERED,DRIVE TEAMS must wear proper identification while in the ARENA. Proper identification consists
2015,2016,R37,R48,0.7227,REWRITTEN+RENUMBERED,Each branch circuit must be protected by one and only one circuit breaker on the PDP per Table
2015,2016,R73,R84,0.7213,REWRITTEN+RENUMBERED,Pressure gauges must be placed in easily visible locations upstream and downstream of the
2015,2016,R56,R67,0.7164,REWRITTEN+RENUMBERED,Neither 12VDC power nor relay module or motor controller outputs shall be directly connected to
2015,2016,R46,R57,0.7107,REWRITTEN+RENUMBERED,"One (1) OpenMesh Wireless Bridge (P/N: OM5P-AN), that has been configured with the appropriate"
2015,2016,G15,T6,0.6986,REWRITTEN+RENUMBERED,"All Teams must be civil towards their own Team members, other Teams, competition personnel,"
2015,2016,G14,G10,0.6919,REWRITTEN+RENUMBERED,"ROBOTS will not be re-enabled after the conclusion of the MATCH, nor will Teams be permitted"
2015,2016,G27,G3,0.6909,REWRITTEN+RENUMBERED,"ROBOTS and anything they control, e.g. a BOULDER, may not contact anything outside the FIELD"
2015,2016,R58,R69,0.6887,REWRITTEN+RENUMBERED,"If a motor is controlled via the MXP, its power regulating device must be connected by one of the"
2015,2016,R6,R7,0.6809,REWRITTEN+RENUMBERED,ROBOTS must allow removal of BOULDERS from the ROBOT and the ROBOT from FIELD
2015,2016,R43,R54,0.6765,REWRITTEN+RENUMBERED,"Servos must be connected only to the PWM ports on the roboRIO, either directly or through the"
2015,2016,G34,G45,0.67,REWRITTEN+RENUMBERED,A ROBOT may not pass completely over the Low Bar.
2015,2016,R62,R73,0.646,REWRITTEN+RENUMBERED,The CAN-bus must be connected to the roboRIO CAN port.
2015,2016,G31,G36,0.64,REWRITTEN+RENUMBERED,COACHES may not touch BOULDERS unless for safety purposes.
2015,2016,R14,R15,0.6393,REWRITTEN+RENUMBERED,All ROBOT elements (including items intended for use during the competition in alternative
2015,2016,G7,G7,0.6374,REWRITTEN,"When placed on the FIELD for a MATCH, each ROBOT must be:"
2015,2016,G25,G19,0.6167,REWRITTEN+RENUMBERED,ROBOTS may not intentionally detach or leave parts on the FIELD.
2015,2016,T15,T20,0.6048,REWRITTEN+RENUMBERED,"If, in the judgment of the Head REFEREE, an ARENA FAULT occurs that affects the outcome"
2015,2016,G4,G4,0.5799,REWRITTEN,DRIVE TEAMS may not extend any body part into the FIELD during the MATCH. Momentary
2015,2016,T20,T25,0.5735,REWRITTEN+RENUMBERED,An ALLIANCE may request neither a TIMEOUT nor a BACKUP TEAM after a Playoff MATCH
2015,2016,T6,T11,0.5585,REWRITTEN+RENUMBERED,The OPERATOR CONSOLE must be used in the PLAYER STATION to which the Team is
2015,2016,R79,R90,0.5556,REWRITTEN+RENUMBERED,The outputs from multiple valves must not be plumbed together.
2015,2016,G10,G8,0.5513,REWRITTEN+RENUMBERED,DRIVE TEAMS may not cause significant or repeated delays to the start of a MATCH and/or to the
2015,2016,G12,G9,0.5347,REWRITTEN+RENUMBERED,DRIVE TEAMS must be in their CASTLE and behind the STARTING LINE prior to the start of the
2015,2016,,R55,0.5231,NEW,"CUSTOM CIRCUITS shall not directly alter the power pathways between the ROBOT battery,"
2015,2016,R30,R41,0.5135,REWRITTEN+RENUMBERED,Any active electrical item that is not an actuator (specified in R29) or core Control System item
2015,2016,G3,G6,0.5,REWRITTEN+RENUMBERED,DRIVE TEAMS may only enter or exit the FIELD through open gates.
2015,2016,G26,G24,0.4717,REWRITTEN+RENUMBERED,"Strategies aimed at the destruction or inhibition of ROBOTS via attachment, damage, tipping,"
2015,2016,,T2,0.4706,NEW,Wireless ROBOT control is only permitted on the FIELD or Practice Field. ROBOTS must be
2015,2016,R32,R43,0.4667,REWRITTEN+RENUMBERED,The Wireless Bridge power must be supplied directly by the 12V 2A output of a Cross the Road
2015,2016,R3,R3,0.4641,REWRITTEN,The ROBOT must satisfy the following size constraints:
2015,2016,,G5,0.4444,NEW,"DRIVE TEAMS may not climb over, step over, or walk over/across DEFENSES or PLATFORMS,"
2015,2016,,T3,0.4048,NEW,"If operating wirelessly on the Practice Field, ROBOTS must use the provided Practice Field radio"
2015,2016,R84,R96,0.4033,REWRITTEN+RENUMBERED,"OPERATOR CONSOLES shall not be made using hazardous materials, be unsafe, cause an unsafe"
2015,2016,G19,G14,0.4,REWRITTEN+RENUMBERED,"During AUTO, DRIVE TEAMS may not directly or indirectly interact with ROBOTS or OPERATOR"
2015,2016,,G15,0.3908,NEW,"During AUTO, DRIVE TEAM members in the CASTLE may not contact anything in front of the"
2015,2016,,G37,0.3571,NEW,DRIVE TEAM members may not contact anything outside the zone in which they started the
2015,2016,,R63,0.3571,NEW,"No form of wireless communication shall be used to communicate to, from, or within the ROBOT,"
2015,2016,,G32,0.3419,NEW,Teams may not interfere with any automated scoring hardware.
2015,2016,,R27,0.3189,NEW,"Each ROBOT must be able to display Red or Blue BUMPERS to match their ALLIANCE color, as"
2015,2016,,R95,0.3182,NEW,"Other than the system provided by the ARENA, no other form of wireless communications shall be"
2015,2016,,G21,0.3048,NEW,A ROBOT contacting carpet in the opponent’s SECRET PASSAGE may not contact opposing
2015,2016,,R24,0.3038,NEW,Corner joints between BUMPERS must be filled with pool noodle material. Examples of
2015,2016,,T30,0.3,NEW,"During Semifinal and Final MATCHES, ALLIANCES must inform the DC of their DEFENSE"
2015,2016,,R23,0.2759,NEW,BUMPERS must not be articulated (relative to the FRAME PERIMETER).
2015,2016,,G29,0.2727,NEW,"During a MATCH, DRIVE TEAMS may not use electronic devices which have the capability of"
2015,2016,,T10,0.2683,NEW,"During a MATCH, the Team STANDARD may not be touched by any member of the ALLIANCE"
2015,2016,,G33,0.2667,NEW,BOULDERS may only be introduced to the FIELD
2015,2016,,T26,0.2656,NEW,Pit Crew members cannot be in the CASTLE during a MATCH.
2015,2016,,T9,0.2632,NEW,"If brought to the ARENA, the Team STANDARD must be constructed to the Team Standard"
2015,2016,,T35,0.2564,NEW,"If a MATCH must be replayed due to an ARENA FAULT, the LINEUP for the replayed MATCH is"
2015,2016,,G39,0.2476,NEW,ROBOTS are prohibited from launching BOULDERS unless they are in contact with the opponent’s
2015,2016,,G13,0.2472,NEW,"During AUTO, ROBOTS may not enter the volume above the MIDLINE."
2015,2016,,G42,0.2462,NEW,ROBOTS may not intentionally eject BOULDERS from the FIELD other than through the GOALS.
2015,2016,,G26,0.2456,NEW,"At any given time, only one (1) ROBOT may contact the carpet or BATTER inside their"
2015,2016,,G17,0.2449,NEW,"ROBOT height, as measured when it’s resting normally on a flat floor, may not exceed 4 ft. 6 in."
2015,2016,,G27,0.2353,NEW,A ROBOT may not transfer BOULDERS from the NEUTRAL ZONE to the opponent’s SECRET
2015,2016,,T13,0.2347,NEW,Each Team must send at least one (1) member of its DRIVE TEAM to the FIELD and participate
2015,2016,,T33,0.2327,NEW,"The ALLIANCE CAPTAIN must report the LINEUP to the Head REFEREE, or their designee,"
2015,2016,,G20,0.2268,NEW,ROBOTS may only enter or exit their opponent’s SECRET PASSAGE from/to the opponent’s
2015,2016,,T31,0.2222,NEW,If an ALLIANCE does not communicate its DEFENSE selection to the DC within the required time
2015,2016,,T28,0.2,NEW,If there is a disagreement amongst the Teams on an ALLIANCE regarding the specific
2015,2016,,G18,0.1961,NEW,ROBOTS may not extend more than 15 in. beyond their FRAME PERIMETER.
2015,2016,,R19,0.1954,NEW,ROBOTS are required to use BUMPERS to protect all outside corners of the FRAME PERIMETER.
2015,2016,,R20,0.1939,NEW,Each set of BUMPERS (including any fasteners and/or structures that attach them to the ROBOT)
2015,2016,,G11,0.1908,NEW,Strategies aimed solely at forcing the opposing ALLIANCE to violate a rule are not in the spirit of
2015,2016,,G23,0.1786,NEW,Fallen (i.e. tipped over) ROBOTS attempting to right themselves (either by themselves or with
2015,2016,,R25,0.1754,NEW,"BUMPERS (the entire BUMPER, not just the cover) must be designed for quick and easy"
2015,2016,,T34,0.1695,NEW,"Once the LINEUP has been declared, it cannot be changed unless there is a TIMEOUT. If there"
2015,2016,,G44,0.1683,NEW,A ROBOT may not use the SHIELD(S) to circumvent a DEFENSE.
2015,2016,,T29,0.1639,NEW,"During Qualification and Quarterfinal MATCHES, ALLIANCES must inform the DC of their"
2015,2016,,G38,0.1616,NEW,ROBOTS may not control more than one (1) BOULDER at any time.
2015,2016,,G28,0.1566,NEW,"During the final twenty (20) seconds of TELEOP, ROBOTS in their COURTYARD may not contact"
2015,2016,,R4,0.1562,NEW,"In the STARTING CONFIGURATION (the physical configuration in which a ROBOT starts a MATCH),"
2015,2016,,R26,0.1548,NEW,BUMPERS must be supported by the structure/frame of the ROBOT (see Figure 4-9 ). To be
2015,2016,,G25,0.1538,NEW,A ROBOT may not attempt to stop or impede the flow of the MATCH in any of the following ways:
2015,2016,,G22,0.1493,NEW,ROBOTS may not pin an opponent’s ROBOT for more than five (5) seconds. A ROBOT will be
2015,2016,,T8,0.1486,NEW,"A Team, as the result of encouragement by a Team not on their ALLIANCE, may not play"
2015,2016,,T37,0.1433,NEW,"If an Einstein ALLIANCE wishes to call a TIMEOUT, the ALLIANCE CAPTAIN must submit their"
2015,2016,,T27,0.1429,NEW,"Only a single ALLIANCE representative, from a DRIVE TEAM, may interact with the DC at a time."
2015,2016,,G43,0.1405,NEW,ROBOTS on the same half of the FIELD as their ALLIANCE TOWER may not interfere with
2015,2016,,G34,0.1343,NEW,No more than six (6) BOULDERS may remain in a CASTLE during TELEOP. If the BOULDER count
2015,2016,,R2,0.1284,NEW,"The ROBOT (excluding BUMPERS) must have a FRAME PERIMETER, contained within the"
2015,2016,,T32,0.1226,NEW,Once the DEFENSE selections are communicated to the DC they cannot be changed.
2015,2016,,R21,0.1213,NEW,BUMPERS must be constructed as follows (see Figure 4-7 ):
2015,2016,,R22,0.1209,NEW,"BUMPERS must be located entirely within the BUMPER ZONE, which is the volume contained"
2015,2016,,G40,0.1178,NEW,A ROBOT may not cause a BOULDER to move from the NEUTRAL ZONE into the opponent’s
2015,2016,,T7,0.1145,NEW,"A Team may not encourage an ALLIANCE, of which it is not a member, to play beneath its ability."
2015,2016,,T36,0.0906,NEW,Only Team members wearing proper badges are allowed on the ARENA floor during Subdivision
2015,2016,G5,,0.0,DROPPED,Only one ALLIANCE member may be in each HUMAN PLAYER ZONE (i
2015,2016,G6,,0.0,DROPPED,"A single ALLIANCE member may not be in contact with both a TOTE and the CHUTE DOOR simultaneously, directly or"
2015,2016,G8,,0.0,DROPPED,DRIVE TEAMS may not leave items other than their ROBOT on the FIELD
2015,2016,G9,,0.0,DROPPED,"DRIVE TEAMS may only bring hand tools, including battery-operated hand tools, onto the FIELD to configure or d"
2015,2016,G11,,0.0,DROPPED,DRIVE TEAMS may not cause significant or repeated delays to FIELD reset at the conclusion of the MATCH
2015,2016,G13,,0.0,DROPPED,"DRIVE TEAMS may not rearrange TOTES or LITTER prior to the start of the MATCH, with the exception of Yellow TO"
2015,2016,G16,,0.0,DROPPED,"The following actions are prohibited with regards to interaction with FIELD elements (items A-D exclude TOTES,"
2015,2016,G17,,0.0,DROPPED,ROBOTS may not push or react against the white horizontal surface of the STEP
2015,2016,G18,,0.0,DROPPED,ROBOTS may not contact any portion of an object where that portion is beyond the STEP
2015,2016,G21,,0.0,DROPPED,"During AUTO, DRIVE TEAMS must not directly or indirectly interact with ROBOTS or OPERATOR CONSOLES"
2015,2016,G22,,0.0,DROPPED,ROBOT height must not exceed 6 ft
2015,2016,G23,,0.0,DROPPED,"ROBOTS may not cause TOTES, RECYCLING CONTAINERS, and/or LITTER to completely leave the FIELD"
2015,2016,G24,,0.0,DROPPED,"ROBOTS may not cause TOTES, RECYCLING CONTAINERS, and/or LITTER to completely transfer from their side of the"
2015,2016,G30,,0.0,DROPPED,"DRIVE TEAM members must remain fully within the ALLIANCE STATION for the duration of the MATCH, unless for per"
2015,2016,G33,,0.0,DROPPED,LITTER may be introduced onto the FIELD only during TELEOP and only in the following ways:
2015,2016,R2,,0.0,DROPPED,Team numbers must be displayed on the ROBOT and meet                                Figure 4-1: Team number di
2015,2016,R44,,0.0,DROPPED,"CUSTOM CIRCUITS shall not directly alter the power pathways between the ROBOT battery, PDP, motor controllers,"
2015,2016,R52,,0.0,DROPPED,"No form of wireless communication shall be used to communicate to, from, or within the ROBOT, except those req"
2015,2016,T7,,0.0,DROPPED,"Each registered FRC team may enter only one (1) ROBOT (or `Robot', which to a reasonably astute observer, is a"
2015,2016,T21,,0.0,DROPPED,"The only equipment, provided it does not jam or interfere with the remote sensing capabilities of another Team"
2016,2017,R23,R24,1.0,VERBATIM+RENUMBERED,BUMPERS must not be articulated (relative to the FRAME PERIMETER).
2016,2017,R25,R25,1.0,VERBATIM,"BUMPERS (the entire BUMPER, not just the cover) must be designed for quick and easy"
2016,2017,R33,R41,1.0,VERBATIM+RENUMBERED,The ROBOT battery must be secured such that it will not dislodge should the ROBOT be turned
2016,2017,R34,R42,1.0,VERBATIM+RENUMBERED,"Each electrical terminal on the ROBOT battery, main breaker, and their connections (lugs,"
2016,2017,R45,R53,1.0,VERBATIM+RENUMBERED,Only one wire shall be connected to each WAGO connector on the PDP.
2016,2017,R47,R55,1.0,VERBATIM+RENUMBERED,The fuses in the PDP shall only be replaced with functionally identical fuses (mini automotive
2016,2017,R50,R58,1.0,VERBATIM+RENUMBERED,"Branch circuits may include intermediate elements such as COTS connectors, splices, COTS"
2016,2017,R59,R64,1.0,VERBATIM+RENUMBERED,Ethernet-connected COTS devices or CUSTOM CIRCUITS may connect to any remaining
2016,2017,R62,R67,1.0,VERBATIM+RENUMBERED,All signals must originate from the OPERATOR CONSOLE and be transmitted to the ROBOT via
2016,2017,R64,R69,1.0,VERBATIM+RENUMBERED,The Wireless Bridge must be mounted on the ROBOT such that the diagnostic lights are visible to
2016,2017,R67,R72,1.0,VERBATIM+RENUMBERED,Neither 12VDC power nor relay module or motor controller outputs shall be directly connected to
2016,2017,R71,R76,1.0,VERBATIM+RENUMBERED,Each PCM must be controlled with signal inputs sourced from the roboRIO and passed via a
2016,2017,R76,R81,1.0,VERBATIM+RENUMBERED,"All pneumatic COMPONENTS must be used in their original, unaltered condition. Exceptions are"
2016,2017,R84,R89,1.0,VERBATIM+RENUMBERED,Pressure gauges must be placed in easily visible locations upstream and downstream of the
2016,2017,R88,R93,1.0,VERBATIM+RENUMBERED,The pressure switch requirements are:
2016,2017,T23,T7,1.0,VERBATIM+RENUMBERED,TIMEOUTS are not transferrable between ALLIANCES.
2016,2017,R93,R98,0.9917,VERBATIM+RENUMBERED,Devices hosting the Driver Station software must only interface with the Field Management
2016,2017,R30,R33,0.991,VERBATIM+RENUMBERED,"The integral mechanical and electrical system of any motor must not be modified. Motors, servos,"
2016,2017,T33,T11,0.9896,VERBATIM+RENUMBERED,"The ALLIANCE CAPTAIN must report the LINEUP to the Head REFEREE, or their designee, in"
2016,2017,R51,R59,0.9889,VERBATIM+RENUMBERED,"All non-SIGNAL LEVEL wiring with a constant polarity (i.e., except for outputs of relay modules,"
2016,2017,R89,R94,0.9881,VERBATIM+RENUMBERED,Any pressure vent plug must be:
2016,2017,R87,R92,0.9867,VERBATIM+RENUMBERED,The relief valve must be attached directly to the compressor or attached by legal hard fittings (e.g.
2016,2017,R92,R97,0.9828,VERBATIM+RENUMBERED,"The OPERATOR CONSOLE, the set of COMPONENTS and MECHANISMS used by the"
2016,2017,T22,T6,0.9774,VERBATIM+RENUMBERED,There are no cascading TIMEOUTS. If an ALLIANCE calls a TIMEOUT during a FIELD
2016,2017,R11,R11,0.9766,VERBATIM,"No individual, non-KOP item shall have a value that exceeds $400 USD. The total cost of"
2016,2017,R32,R40,0.9744,VERBATIM+RENUMBERED,"No batteries other than those allowed per R37 are allowed on the ROBOT, whether or not they"
2016,2017,T25,T9,0.9712,VERBATIM+RENUMBERED,An ALLIANCE may request neither a TIMEOUT nor a BACKUP TEAM after a Playoff MATCH is
2016,2017,T35,T13,0.9704,VERBATIM+RENUMBERED,"If a MATCH must be replayed due to an ARENA FAULT, the LINEUP for the replayed MATCH is"
2016,2017,R13,R13,0.9699,MINOR,Physical ROBOT elements created before Kickoff are not permitted. Exceptions are:
2016,2017,R70,R75,0.9697,MINOR+RENUMBERED,Each Jaguar or Talon SRX must be controlled with signal inputs sourced from the roboRIO and
2016,2017,R66,R71,0.9692,MINOR+RENUMBERED,"The Driver Station software, roboRIO, Power Distribution Panel, Pneumatics Control Modules,"
2016,2017,R14,R14,0.9682,MINOR,Software and mechanical/electrical designs created before Kickoff are only permitted if the source
