rule_id,prefix,years,n_years,contiguous,min_yoy,mean_yoy,last_yoy,headline_last,yoy_detail
E705,E,"2025,2026",2,1,1.0,1.0,1.0,No motor driven carts.,2025->2026:1.0
E706,E,"2025,2026",2,1,0.86,0.86,0.86,Small ROBOT carts are allowed on the FIELD,2025->2026:0.86
E801,E,"2024,2025,2026",3,1,0.0896,0.5394,0.9892,"If in the pits during Ceremonies, shhhhhh.",2024->2025:0.0896;2025->2026:0.9892
E802,E,"2024,2025,2026",3,1,0.0513,0.5256,1.0,Pit person limit during Ceremonies is 5.,2024->2025:0.0513;2025->2026:1.0
E803,E,"2025,2026",2,1,1.0,1.0,1.0,Be respectful during anthems.,2025->2026:1.0
E901,E,"2025,2026",2,1,1.0,1.0,1.0,No saving seats.,2025->2026:1.0
E902,E,"2025,2026",2,1,1.0,1.0,1.0,Don’t throw items from the stands.,2025->2026:1.0
G1,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.1484,0.7527,0.9752,"When placed on the FIELD for a MATCH, each ROBOT must be:",2015->2016:0.9419;2016->2017:0.1484;2017->2018:0.7788;2018->2019:0.8588;2019->2020:0.8129;2020->2021:0.9752
G2,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.1164,0.6013,0.9627,Teams may not tether to the ROBOT while,2015->2016:0.7451;2016->2017:0.1164;2017->2018:0.8521;2018->2019:0.1183;2019->2020:0.8131;2020->2021:0.9627
G3,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0662,0.3442,0.94,"During AUTO, a ROBOT’S BUMPERS may not break the plane of their",2015->2016:0.1163;2016->2017:0.0662;2017->2018:0.553;2018->2019:0.0933;2019->2020:0.2963;2020->2021:0.94
G4,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0429,0.3118,1.0,"During AUTO, DRIVE TEAM members in ALLIANCE STATIONS",2015->2016:0.5799;2016->2017:0.1246;2017->2018:0.0429;2018->2019:0.0724;2019->2020:0.0507;2020->2021:1.0
G5,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0548,0.2341,1.0,"During AUTO, DRIVE TEAMS may not directly or",2015->2016:0.0667;2016->2017:0.0548;2017->2018:0.0714;2018->2019:0.1026;2019->2020:0.1091;2020->2021:1.0
G6,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0736,0.263,1.0,ROBOTS may not have greater-than-momentary,2015->2016:0.1286;2016->2017:0.0736;2017->2018:0.1006;2018->2019:0.1649;2019->2020:0.1105;2020->2021:1.0
G7,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0746,0.3899,0.84,ROBOTS may not intentionally eject POWER CELLS from the,2015->2016:0.6491;2016->2017:0.0828;2017->2018:0.0746;2018->2019:0.1562;2019->2020:0.5366;2020->2021:0.84
G8,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.07,0.2929,0.9474,ROBOTS may not deliberately use POWER CELLS in an attempt,2015->2016:0.1196;2016->2017:0.1028;2017->2018:0.0922;2018->2019:0.07;2019->2020:0.4253;2020->2021:0.9474
G9,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0194,0.2222,0.9706,.,2015->2016:0.1681;2016->2017:0.0194;2017->2018:0.0382;2018->2019:0.0792;2019->2020:0.0576;2020->2021:0.9706
G10,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0698,0.2667,1.0,Right of way.,2015->2016:0.0741;2016->2017:0.1436;2017->2018:0.1959;2018->2019:0.0698;2019->2020:0.1171;2020->2021:1.0
G11,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0588,0.2121,0.9216,Give opponents some space.,2015->2016:0.0657;2016->2017:0.06;2017->2018:0.0588;2018->2019:0.0662;2019->2020:0.1006;2020->2021:0.9216
G12,G,"2015,2017,2018,2019,2020,2021",6,0,0.1046,0.3334,0.9865,Leave the opponent’s CONTROL PANEL alone.,2015->2017:None;2017->2018:0.1183;2018->2019:0.1046;2019->2020:0.124;2020->2021:0.9865
G13,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0661,0.295,1.0,Don’t climb on each other unless at the RENDEZVOUS POINT.,2015->2016:0.1667;2016->2017:0.0661;2017->2018:0.146;2018->2019:0.1667;2019->2020:0.2245;2020->2021:1.0
G14,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0678,0.2478,1.0,"During the ENDGAME, don’t touch ROBOTS in their RENDEZVOUS POINT.",2015->2016:0.0862;2016->2017:0.0879;2017->2018:0.0678;2018->2019:0.0826;2019->2020:0.1622;2020->2021:1.0
G15,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0353,0.2109,0.9641,"During the ENDGAME, don’t mess with HANGING opponents.",2015->2016:0.0901;2016->2017:0.0682;2017->2018:0.0398;2018->2019:0.0353;2019->2020:0.0682;2020->2021:0.9641
G16,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0536,0.2462,1.0,Keep your BUMPERS low.,2015->2016:0.0536;2016->2017:0.0833;2017->2018:0.1216;2018->2019:0.1183;2019->2020:0.1007;2020->2021:1.0
G17,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0816,0.2749,0.9697,Tall ROBOTS not allowed.,2015->2016:0.1383;2016->2017:0.1719;2017->2018:0.0816;2018->2019:0.1887;2019->2020:0.0995;2020->2021:0.9697
G18,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0545,0.2225,0.9563,Don’t overextend yourself.,2015->2016:0.1136;2016->2017:0.062;2017->2018:0.0545;2018->2019:0.0839;2019->2020:0.0645;2020->2021:0.9563
G19,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0471,0.2354,1.0,Keep it together.,2015->2016:0.1239;2016->2017:0.0877;2017->2018:0.0471;2018->2019:0.0833;2019->2020:0.0702;2020->2021:1.0
G20,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0621,0.2588,1.0,Keep your BUMPERS together.,2015->2016:0.1333;2016->2017:0.1228;2017->2018:0.1115;2018->2019:0.1234;2019->2020:0.0621;2020->2021:1.0
G21,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0403,0.2575,0.9718,There’s a 5-count on pins.,2015->2016:0.0403;2016->2017:0.0808;2017->2018:0.1149;2018->2019:0.2247;2019->2020:0.1124;2020->2021:0.9718
G22,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.059,0.2453,1.0,Don’t collude with your partners to shut down major parts of game play.,2015->2016:0.1088;2016->2017:0.0759;2017->2018:0.1346;2018->2019:0.059;2019->2020:0.0936;2020->2021:1.0
G23,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.1083,0.2674,0.9737,Don’t tear others down to lift yourself up.,2015->2016:0.1468;2016->2017:0.1266;2017->2018:0.1326;2018->2019:0.1163;2019->2020:0.1083;2020->2021:0.9737
G24,G,"2015,2016,2017,2018,2019,2020,2021",7,1,0.0761,0.2615,1.0,Stay out of other ROBOTS.,2015->2016:0.1429;2016->2017:0.1474;2017->2018:0.0769;2018->2019:0.0761;2019->2020:0.1257;2020->2021:1.0
G25,G,"2015,2016,2017,2018,2020,2021",6,0,0.042,0.2933,0.974,"Damaging other ROBOTS, not allowed.",2015->2016:0.09;2016->2017:0.0674;2017->2018:0.042;2018->2020:None;2020->2021:0.974
G26,G,"2015,2016,2017,2020,2021",5,0,0.1667,0.4343,0.9696,Be careful what you interact with.,2015->2016:0.1667;2016->2017:0.1667;2017->2020:None;2020->2021:0.9696
G27,G,"2015,2016,2017",3,1,0.0645,0.0835,0.0645,One-GEAR limit.,2015->2016:0.1026;2016->2017:0.0645
G28,G,"2015,2016,2017",3,1,0.0933,0.094,0.0933,Don’t use air to direct/redirect FUEL.,2015->2016:0.0947;2016->2017:0.0933
G29,G,"2015,2016",2,1,0.1159,0.1159,0.1159,"During a MATCH, DRIVE TEAMS may not use electronic devices which have the capability of",2015->2016:0.1159
G30,G,"2015,2016",2,1,0.0952,0.0952,0.0952,Only DRIVE TEAMS for the current MATCH are allowed in their respective CASTLES.,2015->2016:0.0952
G31,G,"2015,2016",2,1,0.0196,0.0196,0.0196,DRIVE TEAMS must wear proper identification while in the ARENA. Proper identification consists,2015->2016:0.0196
G32,G,"2015,2016",2,1,0.0222,0.0222,0.0222,Teams may not interfere with any automated scoring hardware.,2015->2016:0.0222
G33,G,"2015,2016",2,1,0.3467,0.3467,0.3467,BOULDERS may only be introduced to the FIELD,2015->2016:0.3467
G34,G,"2015,2016",2,1,0.0526,0.0526,0.0526,No more than six (6) BOULDERS may remain in a CASTLE during TELEOP. If the BOULDER count,2015->2016:0.0526
G101,G,"2022,2023,2024,2025,2026",5,1,0.15,0.7093,0.7122,"Humans, remain outside the FIELD.",2022->2023:0.988;2023->2024:0.15;2024->2025:0.987;2025->2026:0.7122
G102,G,"2022,2023,2024,2025,2026",5,1,0.1143,0.7252,0.9226,Never step over the guardrail.,2022->2023:0.8673;2023->2024:0.1143;2024->2025:0.9968;2025->2026:0.9226
G103,G,"2022,2023,2024,2025,2026",5,1,0.0941,0.7181,0.7867,Be careful what you interact with.,2022->2023:1.0;2023->2024:0.0941;2024->2025:0.9916;2025->2026:0.7867
G104,G,"2022,2023,2024,2025,2026",5,1,0.0935,0.7726,1.0,Teams may not enable their ROBOTS on the FIELD.,2022->2023:1.0;2023->2024:0.0935;2024->2025:0.9971;2025->2026:1.0
G105,G,"2022,2023",2,1,1.0,1.0,1.0,Keep it together.,2022->2023:1.0
G106,G,"2022,2023",2,1,0.654,0.654,0.654,Tall ROBOTS not allowed.,2022->2023:0.654
G107,G,"2022,2023",2,1,0.6667,0.6667,0.6667,Don’t overextend yourself.,2022->2023:0.6667
G108,G,"2022,2023",2,1,0.1188,0.1188,0.1188,"Opponent’s zone, no extension.",2022->2023:0.1188
G109,G,"2022,2023",2,1,0.0305,0.0305,0.0305,Don’t extend in multiple directions,2022->2023:0.0305
G201,G,"2022,2023,2024,2025,2026",5,1,0.0716,0.6672,1.0,Be a good person.,2022->2023:0.6;2023->2024:0.0716;2024->2025:0.9973;2025->2026:1.0
G202,G,"2022,2023,2024,2025,2026",5,1,0.055,0.7597,1.0,Don’t bang on the glass.,2022->2023:1.0;2023->2024:0.055;2024->2025:0.9836;2025->2026:1.0
G203,G,"2022,2023,2024,2025,2026",5,1,0.105,0.75,0.9918,Asking other teams to throw a MATCH – not cool.,2022->2023:0.9178;2023->2024:0.105;2024->2025:0.9856;2025->2026:0.9918
G204,G,"2022,2023,2024,2025,2026",5,1,0.104,0.7644,0.9916,Letting someone coerce you into throwing a MATCH – also not cool.,2022->2023:0.9829;2023->2024:0.104;2024->2025:0.9791;2025->2026:0.9916
G205,G,"2022,2023,2024,2025,2026",5,1,0.061,0.7306,1.0,Throwing your own MATCH is bad.,2022->2023:0.8738;2023->2024:0.061;2024->2025:0.9876;2025->2026:1.0
G206,G,"2022,2023,2024,2025,2026",5,1,0.1222,0.6288,0.8831,Don't violate rules for RPs.,2022->2023:0.8538;2023->2024:0.1222;2024->2025:0.6562;2025->2026:0.8831
G207,G,"2022,2023,2024,2025,2026",5,1,0.068,0.5676,0.9932,Don’t abuse ARENA access.,2022->2023:0.2376;2023->2024:0.068;2024->2025:0.9716;2025->2026:0.9932
G208,G,"2022,2023,2024,2025,2026",5,1,0.0625,0.5403,0.96,Show up to your Qualification MATCHES.,2022->2023:0.1552;2023->2024:0.0625;2024->2025:0.9836;2025->2026:0.96
G209,G,"2022,2023,2024,2025,2026",5,1,0.0659,0.343,1.0,Keep your ROBOT together.,2022->2023:0.2027;2023->2024:0.1033;2024->2025:0.0659;2025->2026:1.0
G210,G,"2022,2024,2025,2026",4,0,0.0532,0.3619,0.6705,Don’t expect to gain by doing others harm.,2022->2024:None;2024->2025:0.0532;2025->2026:0.6705
G211,G,"2024,2025,2026",3,1,0.0449,0.4269,0.8088,Egregious or exceptional violations.,2024->2025:0.0449;2025->2026:0.8088
G212,G,"2024,2025,2026",3,1,0.055,0.5212,0.9873,All teams can play.,2024->2025:0.055;2025->2026:0.9873
G301,G,"2022,2023,2024,2025,2026",5,1,0.0561,0.7395,0.9699,Be prompt.,2022->2023:0.9429;2023->2024:0.0561;2024->2025:0.9893;2025->2026:0.9699
G302,G,"2022,2023,2024,2025,2026",5,1,0.063,0.393,0.3605,Limit what you use during a MATCH,2022->2023:0.1538;2023->2024:0.063;2024->2025:0.9948;2025->2026:0.3605
G303,G,"2023,2024,2025,2026",4,1,0.0762,0.5304,0.8658,Start your ROBOTS.,2023->2024:0.0762;2024->2025:0.6493;2025->2026:0.8658
G401,G,"2022,2023,2024,2025,2026",5,1,0.119,0.7069,1.0,Behind the lines.,2022->2023:0.7576;2023->2024:0.119;2024->2025:0.951;2025->2026:1.0
G402,G,"2022,2023,2024,2025,2026",5,1,0.1261,0.6086,0.9167,Let the ROBOT do its thing.,2022->2023:0.5344;2023->2024:0.1261;2024->2025:0.8571;2025->2026:0.9167
G403,G,"2022,2023,2024,2025,2026",5,1,0.119,0.3736,0.4688,Limited AUTO opponent interaction.,2022->2023:0.5627;2023->2024:0.3441;2024->2025:0.119;2025->2026:0.4688
G404,G,"2022,2023,2024,2025,2026",5,1,0.0889,0.1697,0.0889,ROBOTS: use SCORING ELEMENTS as directed.,2022->2023:0.1922;2023->2024:0.12;2024->2025:0.2778;2025->2026:0.0889
G405,G,"2022,2023,2024,2025,2026",5,1,0.1839,0.235,0.2647,Keep SCORING ELEMENTS in bounds.,2022->2023:0.198;2023->2024:0.1839;2024->2025:0.2933;2025->2026:0.2647
G406,G,"2024,2025,2026",3,1,0.17,0.4395,0.17,Don’t abuse SCORING ELEMENTS.,2024->2025:0.7089;2025->2026:0.17
G407,G,"2024,2025,2026",3,1,0.3243,0.5448,0.3243,Only score while in your ALLIANCE ZONE.,2024->2025:0.7654;2025->2026:0.3243
G408,G,"2024,2025,2026",3,1,0.1084,0.1244,0.1404,Don’t catch FUEL,2024->2025:0.1084;2025->2026:0.1404
G409,G,"2024,2025,2026",3,1,0.1458,0.2667,0.1458,ROBOTS must be safe.,2024->2025:0.3877;2025->2026:0.1458
G410,G,"2024,2025,2026",3,1,0.1259,0.1509,0.1758,Keep your BUMPERS low,2024->2025:0.1259;2025->2026:0.1758
G411,G,"2024,2025,2026",3,1,0.045,0.1236,0.2022,Don’t damage the FIELD,2024->2025:0.045;2025->2026:0.2022
G412,G,"2024,2025,2026",3,1,0.0581,0.0794,0.1008,Watch your FIELD interaction.,2024->2025:0.0581;2025->2026:0.1008
G413,G,"2024,2025,2026",3,1,0.0757,0.0822,0.0757,Expansion limits.,2024->2025:0.0887;2025->2026:0.0757
G414,G,"2024,2025,2026",3,1,0.0755,0.1044,0.0755,Don’t Climb on each other.,2024->2025:0.1333;2025->2026:0.0755
G415,G,"2024,2025,2026",3,1,0.095,0.0999,0.1049,Stay out of other ROBOTS.,2024->2025:0.095;2025->2026:0.1049
G416,G,"2024,2025,2026",3,1,0.0712,0.1067,0.0712,This isn’t combat robotics.,2024->2025:0.1422;2025->2026:0.0712
G417,G,"2024,2025,2026",3,1,0.0613,0.0877,0.1141,Don’t tip or entangle.,2024->2025:0.0613;2025->2026:0.1141
G418,G,"2024,2025,2026",3,1,0.0494,0.0779,0.1065,There’s a 3-count on PINS.,2024->2025:0.0494;2025->2026:0.1065
G419,G,"2024,2025,2026",3,1,0.188,0.2002,0.2124,Don’t collude with your partners to shut down major parts of game play.,2024->2025:0.188;2025->2026:0.2124
G420,G,"2024,2025,2026",3,1,0.0645,0.1477,0.2308,TOWER protection.,2024->2025:0.0645;2025->2026:0.2308
G421,G,"2024,2025,2026",3,1,0.1004,0.1402,0.1004,No wandering.,2024->2025:0.18;2025->2026:0.1004
G422,G,"2024,2025,2026",3,1,0.1343,0.1645,0.1343,DRIVE COACHES and other teams: hands off the controls.,2024->2025:0.1947;2025->2026:0.1343
G423,G,"2024,2025,2026",3,1,0.0521,0.0766,0.0521,"DRIVE TEAMS, watch your reach.",2024->2025:0.1011;2025->2026:0.0521
G424,G,"2024,2025,2026",3,1,0.1405,0.1472,0.1538,Humans: use SCORING ELEMENTS as directed.,2024->2025:0.1405;2025->2026:0.1538
G425,G,"2024,2025,2026",3,1,0.0576,0.0664,0.0752,SCORING ELEMENT delivery.,2024->2025:0.0576;2025->2026:0.0752
G426,G,"2024,2025,2026",3,1,0.0606,0.068,0.0606,"DRIVE COACHES, SCORING ELEMENTS are off limits.",2024->2025:0.0755;2025->2026:0.0606
G427,G,"2024,2025,2026",3,1,0.125,0.1447,0.125,The OUTPOST has a storage limit.,2024->2025:0.1644;2025->2026:0.125
G428,G,"2024,2025",2,1,0.1584,0.1584,0.1584,CAGE protection.,2024->2025:0.1584
G429,G,"2024,2025",2,1,0.0245,0.0245,0.0245,No wandering.,2024->2025:0.0245
G430,G,"2024,2025",2,1,0.0792,0.0792,0.0792,COACHES and other teams: hands off the controls.,2024->2025:0.0792
G501,G,"2024,2025,2026",3,1,0.988,0.994,1.0,Leave promptly.,2024->2025:0.988;2025->2026:1.0
H1,H,"2017,2018,2019,2020,2021",5,1,0.0653,0.6913,1.0,The only equipment that may be brought to the ARENA,2017->2018:0.9608;2018->2019:0.0653;2019->2020:0.7391;2020->2021:1.0
H2,H,"2017,2018,2019,2020,2021",5,1,0.1037,0.6067,0.9209,". Prior to the start of the MATCH, DRIVE TEAMS and any",2017->2018:0.973;2018->2019:0.1037;2019->2020:0.4293;2020->2021:0.9209
H3,H,"2017,2018,2019,2020,2021",5,1,0.1895,0.525,0.9318,"Prior to the start of the MATCH, DRIVE TEAMS may not",2017->2018:0.3193;2018->2019:0.1895;2019->2020:0.6593;2020->2021:0.9318
H4,H,"2017,2018,2019,2020,2021",5,1,0.0541,0.7019,1.0,A ROBOT shall be operated only by the,2017->2018:0.9;2018->2019:0.0541;2019->2020:0.8537;2020->2021:1.0
H5,H,"2017,2018,2019,2020,2021",5,1,0.125,0.5551,1.0,"During the MATCH, DRIVERS, COACHES, and HUMAN PLAYERS may not contact",2017->2018:0.9268;2018->2019:0.125;2019->2020:0.1687;2020->2021:1.0
H6,H,"2017,2018,2019,2020,2021",5,1,0.1053,0.4223,1.0,POWER CELLS may only be introduced to the,2017->2018:0.2;2018->2019:0.3838;2019->2020:0.1053;2020->2021:1.0
H7,H,"2017,2018,2019,2020,2021",5,1,0.0452,0.316,1.0,"During a MATCH, COACHES may not touch POWER CELLS,",2017->2018:0.0452;2018->2019:0.05;2019->2020:0.169;2020->2021:1.0
H8,H,"2017,2018,2019,2020,2021",5,1,0.0,0.0814,0.0,This rule has been renumbered as C11.,2017->2018:0.0714;2018->2019:0.0877;2019->2020:0.1667;2020->2021:0.0
H9,H,"2017,2018,2019,2020,2021",5,1,0.0625,0.3458,0.9415,"During TELEOP, an ALLIANCE may not have more than fourteen (14)",2017->2018:0.2727;2018->2019:0.1064;2019->2020:0.0625;2020->2021:0.9415
H10,H,"2017,2018,2019,2020,2021",5,1,0.0804,0.3152,0.9592,POWER CELLS go on the rack.,2017->2018:0.1356;2018->2019:0.0857;2019->2020:0.0804;2020->2021:0.9592
