id,min_consecutive_sim,first_last_sim,sim_2022->2023,sim_2023->2024,sim_2024->2025,sim_2025->2026,tu_changed_years,title
I102,0.696,0.688,1.000,1.000,0.696,0.990,2022|2023|2024|2025|2026,Get inspected before playing a Qualification MATCH.
R614,0.719,0.719,1.000,1.000,0.719,1.000,2022|2023|2024|2025|2026,No high voltage allowed.
R702,0.811,0.782,1.000,0.933,0.811,0.970,2022|2023|2024|2025|2026,Communicate with the ROBOT with the specified radio.
R303,0.825,0.826,0.984,0.987,0.994,0.825,2022|2023|2024|2025|2026,"Create new designs and software, unless they’re public."
R105,0.828,0.755,1.000,0.949,0.882,0.828,,ROBOT horizontal extension limit.
R501,0.830,0.775,0.908,0.938,0.830,0.948,2022|2023|2024|2025|2026,Allowable motors.
R609,0.831,0.752,0.965,0.980,0.831,0.907,2022|2023|2024|2025|2026,Connect main power safely.
R808,0.845,0.876,0.959,0.845,1.000,1.000,2022|2023|2024|2025|2026,Working air pressure limit.
R612,0.846,0.838,1.000,0.846,0.989,1.000,2022|2023|2024|2025|2026,Must be able to turn ROBOT on and off safely.
R610,0.849,0.769,1.000,1.000,0.887,0.849,2022|2023|2024|2025|2026,1 breaker/fuse per circuit.
R619,0.859,0.727,0.954,1.000,0.859,0.894,2022|2023|2024|2025|2026,Only use specified circuit breakers in a PD.
R622,0.864,0.788,0.947,0.939,0.897,0.864,2022|2023|2024|2025|2026,Use appropriately sized wire.
R620,0.865,0.867,1.000,1.000,0.865,0.976,2022|2023|2024|2025|2026,Only use specified fuses in PD.
R712,0.873,0.841,1.000,1.000,0.971,0.873,2022|2023|2024|2025|2026,Control PWM controllers from the roboRIO.
R601,0.878,0.824,1.000,0.946,1.000,0.878,2022|2023|2024|2025|2026,Battery limit – everyone has the same power.
R602,0.882,0.821,0.882,0.960,0.967,1.000,2022|2023|2024|2025|2026,Other batteries for cameras or computers only.
R714,0.888,0.895,0.888,0.984,0.991,1.000,2022|2023|2024|2025|2026,Control CAN motor controllers from the roboRIO.
R709,0.898,0.909,0.898,0.977,1.000,0.996,2022|2023|2024|2025|2026,ROBOTS must have a signal light.
R605,0.902,0.948,0.902,0.948,1.000,1.000,2022|2023|2024|2025|2026,Batteries are not ballast.
R904,0.903,0.866,0.980,0.936,1.000,0.903,2022|2023|2024|2025|2026,OPERATOR CONSOLE physical requirements.
I106,0.904,0.890,0.969,0.941,0.955,0.904,2022|2023|2024|2025|2026,ROBOTS are off for inspection (mostly).
R707,0.905,0.902,1.000,1.000,0.905,0.996,2022|2023|2024|2025|2026,Limited wireless allowed.
R203,0.905,0.869,0.985,0.963,1.000,0.905,2022|2023|2024|2025|2026,General safety.
R621,0.911,0.846,1.000,0.911,0.959,0.922,2022|2023|2024|2025|2026,Protect circuits with appropriate circuit breakers.
R204,0.914,0.918,0.937,0.947,0.914,1.000,2022|2023|2024|2025|2026,Leave SCORING ELEMENTS at the FIELD.
R715,0.922,0.860,0.922,1.000,0.948,0.931,2022|2023|2024|2025|2026,"Control PCM, PH, and Servo Hub from roboRIO."
I104,0.924,0.924,0.977,0.924,1.000,1.000,2022|2023|2024|2025|2026,"Unless the change is listed below, any change to a ROBOT must get re-inspected."
R704,0.947,0.927,1.000,0.955,0.947,0.986,2022|2023|2024|2025|2026,Only use allowed ports and bandwidth to communicate with the ROBOT.
R101,0.951,0.936,1.000,0.986,0.951,0.999,2022|2023|2024|2025|2026,ROBOT PERIMETER must be fixed.
R901,0.952,0.975,0.952,0.975,1.000,1.000,2022|2023|2024|2025|2026,Use the specified Driver Station Software.
R803,0.957,0.957,0.967,0.957,1.000,1.000,2022|2023|2024|2025|2026,Don’t modify pneumatics.
R805,0.957,0.977,0.957,0.980,1.000,1.000,2022|2023|2024|2025|2026,"If using pneumatics, these parts are required."
R710,0.959,0.930,0.959,0.970,0.991,0.982,2022|2023|2024|2025|2026,Only specified modifications to control system devices permitted.
R104,0.967,0.957,1.000,0.967,0.988,0.995,,STARTING CONFIGURATION – max size.
I101,0.968,0.942,0.968,0.986,0.991,0.972,2022|2023|2024|2025|2026,It’s your team’s ROBOT.
R618,0.969,0.978,1.000,1.000,0.991,0.969,2022|2023|2024|2025|2026,Use PD terminals as designed.
R103,0.971,0.971,1.000,1.000,1.000,0.971,2022|2023|2024|2025|2026,ROBOT weight limit.
R809,0.971,0.966,0.971,0.995,1.000,1.000,2022|2023|2024|2025|2026,Limited devices at high pressure.
R812,0.972,0.972,0.972,1.000,1.000,1.000,2022|2023|2024|2025|2026,Pressure switch requirements.
R201,0.973,0.973,1.000,0.973,1.000,1.000,2022|2023|2024|2025|2026,No digging into carpet.
R604,0.976,0.976,1.000,0.976,1.000,1.000,2022|2023|2024|2025|2026,Charge batteries at a safe rate.
I105,0.978,0.977,0.999,1.000,1.000,0.978,2022|2023|2024|2025|2026,Don’t exploit re-inspection.
R625,0.982,0.968,1.000,0.987,0.982,0.995,2022|2023|2024|2025|2026,Don’t modify critical power paths.
R810,0.983,0.983,1.000,0.983,1.000,1.000,2022|2023|2024|2025|2026,Pressure gauges must be visible.
R102,0.986,0.986,1.000,1.000,0.986,1.000,2022|2023|2024|2025|2026,STARTING CONFIGURATION – no overhang.
R807,0.989,0.989,1.000,0.989,1.000,1.000,2022|2023|2024|2025|2026,Air storage pressure limit.
R802,0.989,0.989,1.000,0.989,1.000,1.000,2022|2023|2024|2025|2026,No custom pneumatics and meet minimum pressure ratings.
R301,0.990,0.995,0.990,0.995,1.000,1.000,2022|2023|2024|2025|2026,Individual item cost limit.
R611,0.994,0.995,0.999,1.000,0.997,0.994,2022|2023|2024|2025|2026,The ROBOT frame is not a wire.
R811,0.995,0.994,1.000,0.995,1.000,0.999,2022|2023|2024|2025|2026,Relief valve requirements.
I103,0.998,0.998,1.000,1.000,1.000,0.998,2022|2023|2024|2025|2026,Bring it all to inspection.
R804,0.998,0.997,1.000,0.998,1.000,0.999,2022|2023|2024|2025|2026,Only use specific pneumatic devices.
R603,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Charge batteries with safe connectors.
R606,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Secure the battery.
R607,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Insulate battery connections.
R608,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Limit non-battery energy.
R623,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Use only appropriate connectors.
R624,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Use specified wire colors (mostly).
R701,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Control the ROBOT with a roboRIO.
R705,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Configure devices for your team number.
R706,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Don’t bypass the ARENA network.
R708,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Wireless bridge must be visible.
R711,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Don’t connect motor outputs to roboRIO.
R713,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Only approved MXP devices can control actuators.
R801,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Only use explicitly permitted pneumatic parts
R806,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Compressed air from ROBOT compressor only.
R813,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Vent plug requirements.
R902,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,The OPERATOR CONSOLE must have a visible display.
R903,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,Connect FMS Ethernet directly to the OPERATOR CONSOLE.
R905,1.000,1.000,1.000,1.000,1.000,1.000,2022|2023|2024|2025|2026,FIELD wireless only.
