rule_id	min_stmt_sim	mean_stmt_sim	firstlast_body_sim	2024->2025	2025->2026	headline
R504	0.713	0.824	0.734	0.934	0.713	R504*Power (most) actuators off of approved devices
R105	0.729	0.782	0.776	0.729	0.836	R105ROBOT horizontal extension limit
R614	0.737	0.869	0.737	0.737	1.000	R614*No high voltage allowed
R401	0.744	0.856	0.623	0.967	0.744	R401*BUMPERS almost all around
R609	0.769	0.842	0.767	0.769	0.914	R609*Connect main power safely
R707	0.800	0.897	0.899	0.800	0.993	R707*Limited wireless allowed
R620	0.813	0.886	0.868	0.813	0.959	R620*Only use specified fuses in PD
R702	0.817	0.891	0.829	0.817	0.965	R702*Communicate with the ROBOT with the specified radio
R904	0.835	0.916	0.904	0.997	0.835	R904*OPERATOR CONSOLE physical requirements
T301	0.837	0.905	0.847	0.837	0.972	T301*Measurement, not practice
R610	0.851	0.871	0.776	0.890	0.851	R610*1 breaker/fuse per circuit
R619	0.852	0.872	0.776	0.852	0.892	R619*Only use specified circuit breakers in a PD
R204	0.856	0.928	0.917	0.856	1.000	R204*Leave SCORING ELEMENTS at the FIELD
R501	0.860	0.893	0.844	0.860	0.925	R501*Allowable motors
G402	0.864	0.908	0.864	0.864	0.952	G402*Let the ROBOT do its thing
R712	0.878	0.925	0.847	0.972	0.878	R712*Control PWM controllers from the roboRIO
R206	0.878	0.939	0.907	0.878	1.000	R206*Don’t damage SCORING ELEMENTS
G401	0.880	0.940	0.949	0.880	1.000	G401*Behind the lines
R618	0.885	0.910	0.979	0.936	0.885	R618*Use PD terminals as designed
G206	0.894	0.947	0.717	0.894	1.000	G206*Don't violate rules for RPs
R622	0.898	0.904	0.797	0.909	0.898	R622*Use appropriately sized wire
R505	0.906	0.928	0.906	0.951	0.906	R505*Don’t overload controllers
R601	0.922	0.961	0.942	1.000	0.922	R601*Battery limit – everyone has the same power
R704	0.930	0.965	0.947	0.930	0.999	R704*Only use allowed ports and bandwidth to communicate with the ROBOT
R715	0.932	0.941	0.882	0.949	0.932	R715*Control PCM, PH, and Servo Hub from roboRIO
E504	0.934	0.967	0.975	1.000	0.934	No sparks or flames
R104	0.936	0.940	0.967	0.944	0.936	R104STARTING CONFIGURATION – max size
R608	0.942	0.942	1.000	0.942	0.942	R608*Limit non-battery energy
R621	0.942	0.964	0.913	0.987	0.942	R621*Protect circuits with appropriate circuit breakers
R503	0.943	0.971	0.950	1.000	0.943	R503*Don’t modify motors (mostly)
R506	0.946	0.971	0.942	0.946	0.996	R506*Control servos safely
R709	0.949	0.969	0.945	0.949	0.990	R709*ROBOTS must have a signal light
E405	0.952	0.966	0.946	0.980	0.952	Once done, head out
R602	0.953	0.976	0.962	0.953	1.000	R602*Other batteries for cameras or computers only
R613	0.954	0.964	0.992	0.974	0.954	R613*Electrical system must be inspectable
G301	0.954	0.977	0.910	0.954	1.000	G301*Be prompt
R202	0.955	0.977	0.608	0.955	1.000	R202*No exposed sharp edges
G303	0.955	0.964	0.912	0.955	0.973	G303*Start your ROBOTS
T201	0.958	0.979	0.888	1.000	0.958	T201*Replays will be the same
R625	0.961	0.975	0.981	0.961	0.988	R625*Don’t modify critical power paths
R710	0.962	0.970	0.975	0.962	0.978	R710*Only specified modifications to control system devices permitted
R103	0.965	0.980	0.960	0.995	0.965	R103*ROBOT weight limit
G208	0.967	0.969	0.935	0.971	0.967	G208*Show up to your Qualification MATCHES
E106	0.969	0.985	0.969	1.000	0.969	Some event resources for event teams only
R101	0.970	0.979	0.945	0.970	0.988	R101*ROBOT PERIMETER must be fixed
R802	0.976	0.988	0.980	1.000	0.976	R802*No custom pneumatics and meet minimum pressure ratings
E302	0.978	0.989	0.966	1.000	0.978	Don’t interfere with wireless networks
R714	0.979	0.989	0.991	0.979	1.000	R714*Control CAN motor controllers from the roboRIO
I101	0.980	0.990	0.981	0.980	1.000	It’s your team’s ROBOT
R502	0.981	0.991	0.921	1.000	0.981	R502*Only 4 propulsion motors
I102	0.982	0.991	0.689	1.000	0.982	Get inspected before playing a Qualification MATCH
R811	0.985	0.993	0.987	1.000	0.985	R811*Relief valve requirements
E402	0.986	0.993	0.990	1.000	0.986	Load-In person limit is 6
R701	0.987	0.989	0.993	0.991	0.987	R701*Control the ROBOT with a roboRIO
R102	0.988	0.994	0.986	0.988	1.000	R102*STARTING CONFIGURATION – no overhang
G207	0.991	0.996	0.959	1.000	0.991	G207*Don’t abuse ARENA access
R808	0.992	0.996	0.994	1.000	0.992	R808*Working air pressure limit
I103	0.993	0.996	0.993	1.000	0.993	Bring it all to inspection
R804	0.993	0.996	0.989	1.000	0.993	R804*Only use specific pneumatic devices
E201	0.994	0.997	0.998	0.994	1.000	The ROBOT goes alone to off-site machine shops
G501	0.995	0.996	0.994	0.996	0.995	G501*Leave promptly
R806	0.996	0.998	0.997	1.000	0.996	R806*Compressed air from ROBOT compressor only
R901	0.997	0.997	0.998	0.997	0.997	R901*Use the specified Driver Station Software
R807	0.997	0.999	0.997	1.000	0.997	R807*Air storage pressure limit
I107	0.998	0.999	0.998	0.998	0.999	No STUDENT, no inspection
E101	1.000	1.000	1.000	1.000	1.000	Personal safety comes first
E102	1.000	1.000	1.000	1.000	1.000	Be nice
E103	1.000	1.000	1.000	1.000	1.000	Children with adults, please
E104	1.000	1.000	1.000	1.000	1.000	Respect the venue
E105	1.000	1.000	1.000	1.000	1.000	Teams must check in
E301	1.000	1.000	1.000	1.000	1.000	No wireless communication
E404	1.000	1.000	1.000	1.000	1.000	Pit must be left in a safe state
E501	1.000	1.000	1.000	1.000	1.000	Pits are unavailable if closed
E503	1.000	1.000	1.000	1.000	1.000	Keep aisles clear
E505	1.000	1.000	1.000	1.000	1.000	Nothing too big
E506	1.000	1.000	1.000	1.000	1.000	No brazing or welding
E507	1.000	1.000	1.000	1.000	1.000	Solder with specific tools only
E508	1.000	1.000	1.000	1.000	1.000	Structures must be safe
G103	1.000	1.000	0.787	1.000	1.000	G103*Be careful what you interact with
G104	1.000	1.000	0.998	1.000	1.000	G104*Teams may not enable their ROBOTS on the FIELD
G201	1.000	1.000	0.998	1.000	1.000	G201*Be a good person
G202	1.000	1.000	0.986	1.000	1.000	G202*Don’t bang on the glass
G203	1.000	1.000	0.991	1.000	1.000	G203*Asking other teams to throw a MATCH – not cool
G204	1.000	1.000	0.985	1.000	1.000	G204*Letting someone coerce you into throwing a MATCH – also not cool
G205	1.000	1.000	0.991	1.000	1.000	G205*Throwing your own MATCH is bad
I104	1.000	1.000	1.000	1.000	1.000	Unless the change is listed below, any change to a ROBOT must get re-inspected
I105	1.000	1.000	1.000	1.000	1.000	Don’t exploit re-inspection
I106	1.000	1.000	1.000	1.000	1.000	ROBOTS are off for inspection (mostly)
R201	1.000	1.000	1.000	1.000	1.000	R201*No digging into carpet
R203	1.000	1.000	0.868	1.000	1.000	R203*General safety
R301	1.000	1.000	1.000	1.000	1.000	R301*Individual item cost limit
R603	1.000	1.000	1.000	1.000	1.000	R603*Charge batteries with safe connectors
R604	1.000	1.000	1.000	1.000	1.000	R604*Charge batteries at a safe rate
R605	1.000	1.000	1.000	1.000	1.000	R605*Batteries are not ballast
R606	1.000	1.000	1.000	1.000	1.000	R606*Secure the battery
R607	1.000	1.000	1.000	1.000	1.000	R607*Insulate battery connections
R611	1.000	1.000	0.997	1.000	1.000	R611*The ROBOT frame is not a wire
R612	1.000	1.000	0.990	1.000	1.000	R612*Must be able to turn ROBOT on and off safely
R623	1.000	1.000	1.000	1.000	1.000	R623*Use only appropriate connectors
R624	1.000	1.000	1.000	1.000	1.000	R624*Use specified wire colors (mostly)
R705	1.000	1.000	1.000	1.000	1.000	R705*Configure devices for your team number
R706	1.000	1.000	1.000	1.000	1.000	R706*Don’t bypass the ARENA network
R708	1.000	1.000	1.000	1.000	1.000	R708*Wireless bridge must be visible
R711	1.000	1.000	1.000	1.000	1.000	R711*Don’t connect motor outputs to roboRIO
R713	1.000	1.000	1.000	1.000	1.000	R713*Only approved MXP devices can control actuators
R801	1.000	1.000	1.000	1.000	1.000	R801*Only use explicitly permitted pneumatic parts
R803	1.000	1.000	1.000	1.000	1.000	R803*Don’t modify pneumatics
R805	1.000	1.000	1.000	1.000	1.000	R805*If using pneumatics, these parts are required
R809	1.000	1.000	0.992	1.000	1.000	R809*Limited devices at high pressure
R810	1.000	1.000	1.000	1.000	1.000	R810*Pressure gauges must be visible
R812	1.000	1.000	1.000	1.000	1.000	R812*Pressure switch requirements
R813	1.000	1.000	1.000	1.000	1.000	R813*Vent plug requirements
R814	1.000	1.000	1.000	1.000	1.000	R814*Don’t connect solenoid outputs together
R902	1.000	1.000	1.000	1.000	1.000	R902*The OPERATOR CONSOLE must have a visible display
R903	1.000	1.000	1.000	1.000	1.000	R903*Connect FMS Ethernet directly to the OPERATOR CONSOLE
R905	1.000	1.000	1.000	1.000	1.000	R905*FIELD wireless only
