year,event,week,n_teams,n_alliances,winning_alliance,rank_cols
2026,2026nccab,Week 1,28,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026ncwak,Week 1,29,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026njwas,Week 1,30,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026pahat,Week 1,33,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026vaale,Week 1,40,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026wiply,Week 1,33,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026cahal,Week 1,26,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026capoh,Week 1,42,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026wabon,Week 1,34,8,3,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026txcle,Week 1,32,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026tuis4,Week 2,29,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026nyro,Week 2,55,8,3,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026ndgf,Week 2,51,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mxmo,Week 2,43,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026azfg,Week 2,55,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026midtr,Week 2,40,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mimid,Week 2,39,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mimil,Week 2,40,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026ontor,Week 2,29,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026schop,Week 2,26,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026txmca,Week 2,18,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026txsan,Week 2,37,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026ausc,Week 2,42,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026cnsh,Week 2,50,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026brsp,Week 2,49,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026gagwi,Week 2,30,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026marea,Week 2,38,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mawne,Week 2,38,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mdpas,Week 2,34,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mibro,Week 2,40,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026milac,Week 2,34,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mimar,Week 2,40,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026ncash,Week 2,30,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026nhbed,Week 2,34,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026njtab,Week 2,32,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026onosh,Week 2,28,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026vagle,Week 2,30,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026casnf,Week 2,38,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026casnv,Week 2,37,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026caven,Week 2,36,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026orwil,Week 2,32,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026wasno,Week 2,30,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026isde3,Week 2,0,0,,
2026,2026isde4,Week 3,0,0,,
2026,2026flor,Week 3,58,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026nyli2,Week 3,48,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026nysu,Week 3,48,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026ohcl,Week 3,41,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026paca,Week 3,50,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026tnkn,Week 3,46,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026arli,Week 3,25,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026ilpe,Week 3,31,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026ksla,Week 3,41,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mslr,Week 3,46,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026gacol,Week 3,29,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mibel,Week 3,39,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mimus,Week 3,35,8,3,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mitvc,Week 3,38,8,3,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026rikin,Week 3,32,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026txfor,Week 3,24,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026txhou,Week 3,30,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026txwac,Week 3,25,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026wayak,Week 3,27,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026hiho,Week 3,30,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026ctwat,Week 3,32,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026incol,Week 3,37,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mdbet,Week 3,33,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026miber,Week 3,36,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mibkn,Week 3,37,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mifli,Week 3,41,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026ncelo,Week 3,29,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026ncwk2,Week 3,29,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026njrob,Week 3,29,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026onham,Week 3,30,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026onnob,Week 3,25,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026pawar,Week 3,33,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026vache,Week 3,30,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026wiapp,Week 3,38,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026calas,Week 3,42,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026casac,Week 3,38,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026casnd,Week 3,40,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026wasam,Week 3,29,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026tuhc,Week 4,43,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026iacf,Week 4,53,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026ilch,Week 4,35,8,3,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mnmi,Week 4,51,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mosl,Week 4,41,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mxto,Week 4,46,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026gaalb,Week 4,28,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026inlaf,Week 4,35,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026milsu,Week 4,41,8,5,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026miwmi,Week 4,40,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026onwat,Week 4,31,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026schar,Week 4,31,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026idbo,Week 4,35,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026orore,Week 4,35,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026cthar,Week 4,37,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mabos,Week 4,37,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mdsev,Week 4,35,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mibat,Week 4,39,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mimas,Week 4,40,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026misal,Week 4,39,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mitry,Week 4,43,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026ncpem,Week 4,33,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026nhdur,Week 4,37,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026njfla,Week 4,33,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026onbar,Week 4,32,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026paben,Week 4,34,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026vabla,Week 4,30,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026txfar,Week 4,31,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026txman,Week 4,27,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026wimuk,Week 4,36,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026caclv,Week 4,26,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026cagle,Week 4,37,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026capin,Week 4,28,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026casgv,Week 4,29,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026waahs,Week 4,36,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026tuis3,Week 4,43,8,,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026tuis5,Week 5,40,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026ohmv,Week 5,50,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026lake,Week 5,53,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mnum,Week 5,47,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mose,Week 5,40,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026oktu,Week 5,46,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026gagai,Week 5,30,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026inwas,Week 5,25,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026miliv,Week 5,41,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mitr2,Week 5,40,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026paphi,Week 5,31,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026vtbur,Week 5,34,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026txama,Week 5,31,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026txcl2,Week 5,34,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026txdri,Week 5,31,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026wilax,Week 5,34,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026caasv,Week 5,34,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026cacac,Week 5,35,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026caetb,Week 5,39,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026caoec,Week 5,37,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mawor,Week 5,39,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026nyn2,Week 6,39,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026tuak,Week 6,33,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026flwp,Week 6,47,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026gacmp,Week 6,45,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026qcmo,Week 6,36,8,3,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026alhu,Week 6,48,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mnmi2,Week 6,51,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
